date	y
2020-02-07	7.00
2020-02-26	6.00
2020-02-27	7.00
2020-02-28	18.00
2020-03-02	28.00
2020-03-03	121.00
2020-03-04	192.00
2020-03-05	154.00
2020-03-06	183.00
2020-03-07	219.00
2020-03-08	198.00
2020-03-09	202.00
2020-03-10	202.00
2020-03-11	127.00
2020-03-12	170.00
2020-03-13	58.00
2020-03-14	10.00
2020-03-15	22.00
2020-03-16	105.00
2020-03-17	16.00
2020-03-18	33.00
2020-03-19	39.00
2020-03-20	88.00
2020-03-21	21.00
2020-03-22	53.00
2020-03-23	85.00
2020-03-24	106.00
2020-03-25	73.00
2020-03-26	65.00
2020-03-27	98.00
2020-03-28	30.00
2020-03-29	59.00
2020-03-30	112.00
2020-03-31	138.00
2020-04-01	472.00
2020-04-02	146.00
2020-04-03	89.00
2020-04-04	163.00
2020-04-05	171.00
2020-04-06	337.00
2020-04-07	239.00
2020-04-08	145.00
2020-04-09	65.00
2020-04-10	57.00
2020-04-11	46.00
2020-04-12	24.00
2020-04-13	41.00
2020-04-14	56.00
2020-04-15	52.00
2020-04-16	81.00
2020-04-17	36.00
2020-04-18	17.00
2020-04-19	34.00
2020-04-20	114.00
2020-04-21	88.00
2020-04-22	132.00
2020-04-23	83.00
2020-04-24	68.00
2020-04-25	19.00
2020-04-26	36.00
2020-04-27	96.00
2020-04-28	35.00
2020-04-29	11.00
2020-04-30	71.00
2020-05-01	13.00
2020-05-02	9.00
2020-05-04	76.00
2020-05-05	60.00
2020-05-06	28.00
2020-05-07	37.00
2020-05-08	19.00
2020-05-09	21.00
2020-05-10	18.00
2020-05-11	36.00
2020-05-12	58.00
2020-05-13	42.00
2020-05-14	75.00
2020-05-15	53.00
2020-05-16	13.00
2020-05-17	39.00
2020-05-18	33.00
2020-05-19	68.00
2020-05-20	43.00
2020-05-21	13.00
2020-05-22	161.00
2020-05-23	74.00
2020-05-24	85.00
2020-05-25	121.00
2020-05-26	47.00
2020-05-27	170.00
2020-05-28	97.00
2020-05-29	13.00
2020-06-01	124.00
2020-06-02	76.00
2020-06-03	72.00
2020-06-04	92.00
2020-06-05	86.00
2020-06-07	20.00
