date	y
2020-01-31	6.00
2020-03-01	32.00
2020-03-02	8.00
2020-03-03	77.00
2020-03-06	64.00
2020-03-09	15.00
2020-03-10	130.00
2020-03-11	12.00
2020-03-12	63.00
2020-03-13	20.00
2020-03-15	34.00
2020-03-16	33.00
2020-03-17	66.00
2020-03-18	69.00
2020-03-19	38.00
2020-03-20	7.00
2020-03-21	22.00
2020-03-22	29.00
2020-03-23	12.00
2020-03-24	31.00
2020-03-25	29.00
2020-03-26	54.00
2020-03-27	10.00
2020-03-28	65.00
2020-03-29	118.00
2020-03-30	89.00
2020-03-31	182.00
2020-04-01	189.00
2020-04-02	133.00
2020-04-03	52.00
2020-04-04	97.00
2020-04-05	149.00
2020-04-06	123.00
2020-04-07	114.00
2020-04-08	49.00
2020-04-09	97.00
2020-04-10	51.00
2020-04-11	49.00
2020-04-12	120.00
2020-04-13	139.00
2020-04-14	126.00
2020-04-15	100.00
2020-04-16	155.00
2020-04-17	39.00
2020-04-18	74.00
2020-04-19	125.00
2020-04-20	257.00
2020-04-21	123.00
2020-04-22	88.00
2020-04-23	156.00
2020-04-24	88.00
2020-04-25	111.00
2020-04-26	220.00
2020-04-27	253.00
2020-04-28	167.00
2020-04-29	373.00
2020-04-30	153.00
2020-05-01	277.00
2020-05-02	341.00
2020-05-03	513.00
2020-05-04	267.00
2020-05-05	291.00
2020-05-06	305.00
2020-05-07	278.00
2020-05-08	171.00
2020-05-09	226.00
2020-05-10	262.00
2020-05-11	313.00
2020-05-12	307.00
2020-05-13	416.00
2020-05-14	327.00
2020-05-15	269.00
2020-05-16	289.00
2020-05-17	390.00
2020-05-18	298.00
2020-05-19	421.00
2020-05-20	374.00
2020-05-21	678.00
2020-05-22	389.00
2020-05-23	523.00
2020-05-24	585.00
2020-05-25	920.00
2020-05-26	564.00
2020-05-27	502.00
2020-05-28	484.00
2020-05-29	294.00
2020-05-30	354.00
2020-05-31	164.00
2020-06-01	361.00
2020-06-02	337.00
2020-06-03	436.00
2020-06-04	488.00
2020-06-05	618.00
2020-06-06	474.00
2020-06-07	158.00
2020-06-08	679.00
2020-06-09	544.00
2020-06-10	450.00
2020-06-11	933.00
2020-06-12	1054.00
2020-06-13	561.00
2020-06-14	151.00
2020-06-15	792.00
2020-06-16	496.00
2020-06-17	1072.00
2020-06-18	1407.00
2020-06-19	481.00
2020-06-20	722.00
2020-06-21	99.00
2020-06-22	383.00
2020-06-23	171.00
2020-06-24	43.00
2020-06-25	640.00
2020-06-26	213.00
2020-06-27	95.00
2020-06-28	53.00
2020-06-29	289.00
2020-06-30	369.00
2020-07-01	231.00
2020-07-02	127.00
2020-07-03	176.00
2020-07-04	605.00
2020-07-05	10.00
2020-07-06	430.00
2020-07-07	159.00
2020-07-08	194.00
2020-07-09	140.00
2020-07-10	107.00
2020-07-11	255.00
2020-07-12	48.00
2020-07-13	127.00
2020-07-14	1041.00
2020-07-15	417.00
2020-07-16	132.00
2020-07-17	144.00
2020-07-18	327.00
2020-07-19	178.00
2020-07-20	175.00
2020-07-21	111.00
2020-07-22	301.00
2020-07-23	204.00
2020-07-24	261.00
2020-07-25	205.00
2020-07-26	132.00
2020-07-27	296.00
2020-07-28	191.00
2020-07-29	935.00
2020-07-30	298.00
2020-07-31	130.00
2020-08-01	498.00
2020-08-02	1516.00
2020-08-03	288.00
2020-08-04	180.00
2020-08-05	245.00
2020-08-06	130.00
2020-08-07	173.00
2020-08-08	133.00
2020-08-09	543.00
2020-08-10	558.00
2020-08-11	722.00
2020-08-12	424.00
2020-08-13	618.00
2020-08-14	736.00
2020-08-15	99.00
2020-08-16	112.00
2020-08-17	112.00
2020-08-18	61.00
2020-08-19	456.00
2020-08-20	30.00
2020-08-21	113.00
2020-08-22	85.00
2020-08-23	12.00
2020-08-24	153.00
2020-08-25	404.00
2020-08-26	193.00
2020-08-27	516.00
2020-08-28	433.00
2020-08-29	504.00
2020-08-30	235.00
2020-08-31	475.00
2020-09-01	86.00
2020-09-02	557.00
2020-09-03	756.00
2020-09-04	150.00
2020-09-05	152.00
2020-09-06	93.00
2020-09-07	70.00
2020-09-08	468.00
2020-09-09	563.00
2020-09-10	648.00
2020-09-11	748.00
2020-09-12	266.00
2020-09-13	379.00
2020-09-14	606.00
2020-09-15	410.00
2020-09-16	472.00
2020-09-17	503.00
2020-09-18	641.00
2020-09-19	445.00
2020-09-20	345.00
2020-09-21	305.00
2020-09-22	456.00
2020-09-23	339.00
2020-09-24	404.00
2020-09-25	371.00
2020-09-26	230.00
2020-09-27	157.00
2020-09-28	550.00
2020-09-29	607.00
2020-09-30	389.00
2020-10-01	627.00
2020-10-02	223.00
2020-10-03	425.00
2020-10-04	271.00
2020-10-05	258.00
2020-10-06	490.00
2020-10-07	503.00
2020-10-08	594.00
2020-10-09	450.00
2020-10-10	111.00
2020-10-11	241.00
2020-10-12	187.00
2020-10-13	303.00
2020-10-14	217.00
2020-10-15	125.00
2020-10-16	196.00
2020-10-17	136.00
2020-10-19	148.00
2020-10-20	327.00
2020-10-21	707.00
2020-10-22	414.00
2020-10-23	315.00
2020-10-24	173.00
2020-10-25	38.00
2020-10-26	613.00
2020-10-27	531.00
2020-10-28	203.00
2020-10-29	357.00
2020-10-30	90.00
2020-10-31	55.00
2020-11-01	240.00
2020-11-02	137.00
2020-11-03	718.00
2020-11-04	446.00
2020-11-05	433.00
2020-11-06	383.00
2020-11-07	45.00
2020-11-08	316.00
2020-11-09	187.00
2020-11-10	151.00
2020-11-11	183.00
2020-11-12	336.00
2020-11-13	189.00
2020-11-14	162.00
2020-11-15	38.00
2020-11-16	80.00
2020-11-17	238.00
2020-11-18	224.00
2020-11-19	162.00
2020-11-20	51.00
2020-11-21	436.00
2020-11-22	170.00
2020-11-23	301.00
2020-11-24	990.00
2020-11-25	1394.00
2020-11-26	1224.00
2020-11-27	1032.00
2020-11-28	894.00
2020-11-29	489.00
2020-11-30	856.00
2020-12-01	1166.00
2020-12-02	1040.00
2020-12-03	742.00
2020-12-04	945.00
2020-12-05	808.00
2020-12-06	618.00
2020-12-07	652.00
2020-12-08	643.00
2020-12-09	870.00
2020-12-10	906.00
2020-12-11	791.00
2020-12-12	1017.00
2020-12-13	939.00
2020-12-14	1074.00
2020-12-15	1381.00
2020-12-16	1389.00
2020-12-17	1990.00
2020-12-18	1478.00
2020-12-19	1625.00
2020-12-20	898.00
2020-12-21	1475.00
2020-12-22	2920.00
2020-12-23	1514.00
2020-12-24	982.00
2020-12-25	936.00
2020-12-26	1020.00
2020-12-27	410.00
2020-12-28	562.00
2020-12-29	317.00
2020-12-30	326.00
2020-12-31	556.00
2021-01-01	765.00
2021-01-02	1054.00
2021-01-03	476.00
2021-01-04	559.00
2021-01-05	651.00
2021-01-06	550.00
2021-01-07	675.00
2021-01-08	552.00
2021-01-09	513.00
2021-01-10	271.00
2021-01-11	587.00
2021-01-12	967.00
2021-01-13	494.00
2021-01-14	458.00
2021-01-15	669.00
2021-01-16	688.00
2021-01-17	360.00
2021-01-18	1093.00
2021-01-19	786.00
2021-01-20	814.00
2021-01-21	722.00
2021-01-22	910.00
2021-01-23	722.00
2021-01-24	200.00
2021-01-25	613.00
2021-01-26	370.00
2021-01-27	664.00
2021-01-28	404.00
2021-01-29	417.00
2021-01-30	538.00
2021-01-31	262.00
2021-02-01	1265.00
2021-02-02	1295.00
2021-02-03	1751.00
2021-02-04	743.00
2021-02-05	801.00
2021-02-06	2668.00
2021-02-07	334.00
2021-02-08	889.00
2021-02-09	603.00
2021-02-10	768.00
2021-02-11	1495.00
2021-02-12	1293.00
2021-02-13	1538.00
2021-02-14	789.00
2021-02-15	1550.00
2021-02-16	2744.00
2021-02-17	1768.00
2021-02-18	2246.00
2021-02-19	1372.00
2021-02-20	2600.00
2021-02-21	1152.00
2021-02-22	1529.00
2021-02-23	2397.00
2021-02-24	2567.00
2021-02-25	2301.00
2021-02-26	2778.00
2021-02-27	2202.00
2021-02-28	1167.00
2021-03-01	2158.00
2021-03-02	2012.00
2021-03-03	2025.00
2021-03-04	3132.00
2021-03-05	3651.00
2021-03-06	3899.00
2021-03-07	2451.00
2021-03-08	4275.00
2021-03-09	6097.00
2021-03-10	3977.00
2021-03-11	3139.00
2021-03-12	3559.00
2021-03-13	2303.00
2021-03-14	2316.00
2021-03-15	4043.00
2021-03-16	4336.00
2021-03-17	3944.00
2021-03-18	4768.00
2021-03-19	3764.00
2021-03-20	3081.00
2021-03-21	3177.00
2021-03-22	4395.00
2021-03-23	5023.00
2021-03-24	6498.00
2021-03-25	2954.00
2021-03-26	5865.00
2021-03-27	6626.00
2021-03-28	1984.00
2021-03-29	3623.00
2021-03-30	5977.00
2021-03-31	8378.00
2021-04-01	7709.00
2021-04-02	6353.00
2021-04-03	5244.00
2021-04-04	3356.00
2021-04-05	9351.00
2021-04-06	9218.00
2021-04-07	8360.00
2021-04-08	7549.00
2021-04-09	6016.00
2021-04-10	9466.00
2021-04-11	3806.00
2021-04-12	6395.00
2021-04-13	9551.00
2021-04-14	10987.00
2021-04-15	7504.00
2021-04-16	5075.00
2021-04-17	4619.00
2021-04-18	7566.00
2021-04-19	6941.00
2021-04-20	5234.00
2021-04-21	4725.00
2021-04-22	6033.00
2021-04-23	10463.00
2021-04-24	5745.00
2021-04-25	2371.00
2021-04-26	8163.00
2021-04-27	6648.00
2021-04-28	7333.00
2021-04-29	10137.00
2021-04-30	8824.00
2021-05-01	5929.00
2021-05-02	7046.00
2021-05-03	4568.00
2021-05-04	4990.00
2021-05-05	7334.00
2021-05-06	4163.00
2021-05-07	5095.00
2021-05-08	5297.00
2021-05-09	3379.00
2021-05-10	7034.00
2021-05-11	7170.00
2021-05-12	4776.00
2021-05-13	4888.00
2021-05-14	8694.00
2021-05-15	5654.00
2021-05-16	3373.00
2021-05-17	6115.00
2021-05-18	5335.00
2021-05-19	4901.00
2021-05-20	4746.00
2021-05-21	3249.00
2021-05-22	3313.00
