date	y
2020-01-29	8.00
2020-01-30	7.00
2020-02-01	8.00
2020-02-02	26.00
2020-02-03	4.00
2020-02-07	4.00
2020-02-08	4.00
2020-02-15	7.00
2020-02-23	9.00
2020-02-25	10.00
2020-02-26	23.00
2020-02-27	13.00
2020-02-28	14.00
2020-02-29	2.00
2020-03-01	57.00
2020-03-02	117.00
2020-03-03	57.00
2020-03-04	62.00
2020-03-05	90.00
2020-03-06	110.00
2020-03-07	95.00
2020-03-08	83.00
2020-03-09	170.00
2020-03-10	127.00
2020-03-11	372.00
2020-03-12	346.00
2020-03-13	207.00
2020-03-14	351.00
2020-03-15	587.00
2020-03-16	400.00
2020-03-17	302.00
2020-03-18	382.00
2020-03-19	516.00
2020-03-20	321.00
2020-03-21	473.00
2020-03-22	683.00
2020-03-23	418.00
2020-03-24	451.00
2020-03-25	416.00
2020-03-26	427.00
2020-03-27	434.00
2020-03-28	326.00
2020-03-29	169.00
2020-03-30	226.00
2020-03-31	140.00
2020-04-01	279.00
2020-04-02	268.00
2020-04-03	189.00
2020-04-04	101.00
2020-04-05	110.00
2020-04-06	201.00
2020-04-07	211.00
2020-04-08	233.00
2020-04-09	154.00
2020-04-10	75.00
2020-04-11	73.00
2020-04-12	57.00
2020-04-13	157.00
2020-04-14	163.00
2020-04-15	121.00
2020-04-16	165.00
2020-04-17	79.00
2020-04-18	98.00
2020-04-19	57.00
2020-04-20	131.00
2020-04-21	171.00
2020-04-22	85.00
2020-04-23	69.00
2020-04-24	34.00
2020-04-25	64.00
2020-04-26	43.00
2020-04-27	72.00
2020-04-28	85.00
2020-04-29	75.00
2020-04-30	73.00
2020-05-01	12.00
2020-05-02	21.00
2020-05-03	35.00
2020-05-04	71.00
2020-05-05	35.00
2020-05-06	16.00
2020-05-07	14.00
2020-05-08	27.00
2020-05-09	9.00
2020-05-10	10.00
2020-05-11	78.00
2020-05-12	13.00
2020-05-13	64.00
2020-05-14	36.00
2020-05-15	9.00
2020-05-17	5.00
2020-05-18	31.00
2020-05-19	45.00
2020-05-20	210.00
2020-05-21	22.00
2020-05-22	18.00
2020-05-23	27.00
2020-05-24	19.00
2020-05-25	186.00
2020-05-26	73.00
2020-05-30	36.00
2020-05-31	12.00
2020-06-01	12.00
2020-06-02	63.00
2020-06-03	79.00
2020-06-04	25.00
2020-06-05	42.00
2020-06-06	27.00
2020-06-08	89.00
2020-06-09	46.00
2020-06-10	58.00
2020-06-11	30.00
2020-06-12	22.00
2020-06-14	30.00
2020-06-15	134.00
2020-06-16	3187.00
2020-06-17	673.00
2020-06-18	917.00
2020-06-19	1917.00
2020-06-20	827.00
2020-06-21	465.00
2020-06-22	133.00
2020-06-23	616.00
2020-06-24	782.00
2020-06-25	154.00
2020-06-26	221.00
2020-06-27	48.00
2020-06-28	72.00
2020-06-29	71.00
2020-06-30	29.00
2020-07-01	52.00
2020-07-03	75.00
2020-07-04	48.00
2020-07-05	22.00
2020-07-06	25.00
2020-07-07	54.00
2020-07-08	42.00
2020-07-09	15.00
2020-07-10	12.00
2020-07-11	128.00
2020-07-12	26.00
2020-07-13	53.00
2020-07-14	48.00
2020-07-15	17.00
2020-07-16	95.00
2020-07-17	75.00
2020-07-18	39.00
2020-07-19	99.00
2020-07-20	68.00
2020-07-21	22.00
2020-07-23	61.00
2020-07-26	75.00
2020-07-27	56.00
2020-07-28	88.00
2020-07-29	37.00
2020-07-30	45.00
2020-07-31	58.00
2020-08-01	138.00
2020-08-02	55.00
2020-08-03	43.00
2020-08-04	46.00
2020-08-05	183.00
2020-08-06	63.00
2020-08-07	104.00
2020-08-08	47.00
2020-08-09	79.00
2020-08-10	105.00
2020-08-11	170.00
2020-08-12	240.00
2020-08-13	167.00
2020-08-14	243.00
2020-08-15	374.00
2020-08-16	364.00
2020-08-17	432.00
2020-08-18	290.00
2020-08-19	199.00
2020-08-20	100.00
2020-08-21	91.00
2020-08-22	93.00
2020-08-23	225.00
2020-08-24	147.00
2020-08-25	190.00
2020-08-26	163.00
2020-08-27	86.00
2020-08-28	545.00
2020-08-29	63.00
2020-08-30	96.00
2020-08-31	132.00
2020-09-01	168.00
2020-09-02	20.00
2020-09-03	113.00
2020-09-04	101.00
2020-09-05	67.00
2020-09-06	13.00
2020-09-07	44.00
2020-09-08	101.00
2020-09-09	37.00
2020-09-10	438.00
2020-09-11	230.00
2020-09-12	106.00
2020-09-13	45.00
2020-09-14	221.00
2020-09-15	189.00
2020-09-16	269.00
2020-09-17	266.00
2020-09-18	304.00
2020-09-19	381.00
2020-09-20	371.00
2020-09-21	600.00
2020-09-22	285.00
2020-09-23	393.00
2020-09-24	456.00
2020-09-25	404.00
2020-09-26	416.00
2020-09-27	277.00
2020-09-28	622.00
2020-09-29	304.00
2020-09-30	340.00
2020-10-01	258.00
2020-10-02	225.00
2020-10-03	58.00
2020-10-04	117.00
2020-10-05	806.00
2020-10-06	457.00
2020-10-07	184.00
2020-10-08	270.00
2020-10-09	439.00
2020-10-10	386.00
2020-10-11	580.00
2020-10-12	620.00
2020-10-13	671.00
2020-10-14	434.00
2020-10-15	640.00
2020-10-16	184.00
2020-10-17	110.00
2020-10-18	195.00
2020-10-19	252.00
2020-10-20	341.00
2020-10-21	176.00
2020-10-22	353.00
2020-10-23	171.00
2020-10-24	194.00
2020-10-25	661.00
2020-10-26	646.00
2020-10-27	253.00
2020-10-28	264.00
2020-10-29	145.00
2020-10-30	370.00
2020-10-31	306.00
2020-11-01	921.00
2020-11-02	412.00
2020-11-03	279.00
2020-11-04	771.00
2020-11-05	205.00
2020-11-06	516.00
2020-11-07	95.00
2020-11-08	197.00
2020-11-09	491.00
2020-11-10	251.00
2020-11-11	828.00
2020-11-12	240.00
