date	y
2020-01-25	6.00
2020-01-27	6.00
2020-01-29	6.00
2020-01-31	4.00
2020-02-01	1.00
2020-02-02	6.00
2020-02-03	9.00
2020-02-04	4.00
2020-02-05	2.00
2020-02-06	6.00
2020-02-07	1.00
2020-02-08	2.00
2020-02-09	3.00
2020-02-10	3.00
2020-02-13	2.00
2020-02-14	3.00
2020-02-15	1.00
2020-02-16	4.00
2020-02-17	4.00
2020-02-18	5.00
2020-02-19	2.00
2020-02-20	5.00
2020-02-27	2.00
2020-02-28	3.00
2020-03-01	2.00
2020-03-02	4.00
2020-03-03	1.00
2020-03-04	1.00
2020-03-05	13.00
2020-03-06	22.00
2020-03-08	6.00
2020-03-09	3.00
2020-03-10	26.00
2020-03-11	31.00
2020-03-12	31.00
2020-03-13	48.00
2020-03-14	42.00
2020-03-15	36.00
2020-03-16	84.00
2020-03-17	158.00
2020-03-18	222.00
2020-03-19	147.00
2020-03-20	173.00
2020-03-21	232.00
2020-03-22	179.00
2020-03-23	222.00
2020-03-24	158.00
2020-03-25	72.00
2020-03-26	71.00
2020-03-27	26.00
2020-03-28	34.00
2020-03-29	50.00
2020-03-30	28.00
2020-03-31	115.00
2020-04-01	55.00
2020-04-02	47.00
2020-04-03	95.00
2020-04-04	63.00
2020-04-05	40.00
2020-04-06	243.00
2020-04-07	174.00
2020-04-08	283.00
2020-04-09	187.00
2020-04-10	74.00
2020-04-11	94.00
2020-04-12	99.00
2020-04-13	77.00
2020-04-14	267.00
2020-04-15	281.00
2020-04-16	59.00
2020-04-17	392.00
2020-04-18	43.00
2020-04-19	52.00
2020-04-20	204.00
2020-04-21	112.00
2020-04-22	131.00
2020-04-23	115.00
2020-04-24	100.00
2020-04-25	79.00
2020-04-26	179.00
2020-04-27	118.00
2020-04-28	83.00
2020-04-29	32.00
2020-04-30	47.00
2020-05-01	59.00
2020-05-02	52.00
2020-05-03	47.00
2020-05-04	78.00
2020-05-05	133.00
2020-05-06	96.00
2020-05-07	19.00
2020-05-08	97.00
2020-05-09	84.00
2020-05-10	142.00
2020-05-11	82.00
2020-05-12	29.00
2020-05-13	21.00
2020-05-14	37.00
2020-05-15	103.00
2020-05-16	31.00
2020-05-17	25.00
2020-05-18	77.00
2020-05-19	89.00
2020-05-20	90.00
2020-05-21	57.00
2020-05-22	41.00
2020-05-23	21.00
2020-05-24	28.00
2020-05-26	21.00
2020-05-27	68.00
2020-05-28	18.00
2020-05-29	23.00
2020-05-30	12.00
2020-05-31	21.00
2020-06-01	45.00
2020-06-02	94.00
2020-06-03	86.00
2020-06-04	70.00
2020-06-05	65.00
2020-06-06	68.00
2020-06-07	35.00
2020-06-08	12.00
2020-06-09	65.00
2020-06-10	44.00
2020-06-11	55.00
2020-06-12	9.00
2020-06-13	70.00
2020-06-14	20.00
2020-06-15	57.00
2020-06-16	31.00
2020-06-17	52.00
2020-06-18	54.00
2020-06-19	61.00
2020-06-20	9.00
2020-06-21	22.00
2020-06-22	155.00
2020-06-23	75.00
2020-06-24	101.00
2020-06-25	53.00
2020-06-26	54.00
2020-06-27	25.00
2020-06-28	29.00
2020-06-29	21.00
2020-06-30	41.00
2020-07-01	131.00
2020-07-02	69.00
2020-07-03	18.00
2020-07-04	50.00
2020-07-05	14.00
2020-07-06	162.00
2020-07-07	36.00
2020-07-08	111.00
2020-07-09	40.00
2020-07-10	34.00
2020-07-11	30.00
2020-07-12	56.00
2020-07-13	63.00
2020-07-14	41.00
2020-07-15	47.00
2020-07-16	62.00
2020-07-17	110.00
2020-07-18	54.00
2020-07-19	59.00
2020-07-20	23.00
2020-07-21	42.00
2020-07-22	54.00
2020-07-23	15.00
2020-07-25	16.00
2020-07-26	67.00
2020-07-27	26.00
2020-07-29	24.00
2020-08-02	12.00
2020-08-05	16.00
2020-08-10	25.00
2020-08-11	207.00
2020-08-13	16.00
2020-08-17	187.00
2020-08-18	11.00
2020-08-20	37.00
2020-08-21	12.00
2020-08-23	14.00
2020-08-25	26.00
2020-08-28	54.00
2020-08-29	42.00
2020-08-30	11.00
2020-08-31	66.00
2020-09-03	80.00
2020-09-04	33.00
2020-09-05	14.00
2020-09-06	30.00
2020-09-07	35.00
2020-09-08	18.00
2020-09-09	19.00
2020-09-11	27.00
2020-09-13	15.00
2020-09-14	13.00
2020-09-16	12.00
2020-09-21	54.00
2020-09-22	13.00
2020-09-24	18.00
2020-09-25	36.00
2020-09-26	28.00
2020-09-28	15.00
2020-09-29	15.00
2020-09-30	29.00
2020-10-02	43.00
2020-10-03	36.00
2020-10-05	141.00
2020-10-06	92.00
2020-10-07	15.00
2020-10-08	17.00
2020-10-10	56.00
2020-10-12	24.00
2020-10-14	79.00
2020-10-15	22.00
2020-10-16	29.00
2020-10-19	105.00
2020-10-20	17.00
2020-10-21	16.00
2020-10-22	36.00
2020-10-23	19.00
